
[19:02:40.34] Started
[19:03:04.17] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)(10)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:04.20] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)(15)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:04.31] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)(20)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:04.34] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)%@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:04.44] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)0@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:04.94] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)5@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.0] OK:(15)0(01)(00)(00)(00)(11)(01)(00)(FF)(92)5@(01)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.3] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)@@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.12] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)E@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.16] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)P@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.20] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)U@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.25] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)`@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.34] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)e@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.45] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)p@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:05.97] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)u@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.0] OK:(15)0(01)(00)(00)(00)(11)(01)(00)(FF)(92)u@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.3] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)(80)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.8] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)(85)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.11] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)(90)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.14] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(92)(95)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.19] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(93)(00)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.23] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(93)(05)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.33] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(93)(10)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:03:06.81] OK:(15)0(01)(00)(00)(00)(11)(02)(00)(FF)(93)(15)@(00)(00)(00)(00)(00)(00)(00)(00)(00)
