
[19:10:38.75] Started
[19:10:45.17] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.19] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.20] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.23] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.25] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.28] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.30] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.31] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.33] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.34] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.36] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.36] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.36] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.38] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.39] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.39] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.42] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.44] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.45] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.47] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.48] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.50] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.51] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.55] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.55] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:45.58] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.59] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:45.61] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.16] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.19] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.20] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.23] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.23] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-2(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.26] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.28] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-3(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.30] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.31] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-4(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.33] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.34] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-4(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.38] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-5(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.38] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-5(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.41] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:46.42] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.45] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:46.47] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.47] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:46.50] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.51] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:46.55] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.55] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:46.58] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.59] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:46.64] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.67] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.69] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:46.84] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.89] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.89] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-5(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:46.95] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:46.97] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.0] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-4(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:47.1] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.3] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-3(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:47.5] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.8] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-2(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:47.8] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.11] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:47.17] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.19] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.20] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:47.23] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.23] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:47.26] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:47.28] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:47.97] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.0] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.3] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.34] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.38] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.42] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.48] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.51] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.55] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.59] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.62] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.64] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.69] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.72] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.75] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.78] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.81] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.83] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.86] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.86] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.89] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.91] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:48.95] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:48.98] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.0] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-2(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:49.6] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.9] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.11] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-3(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:49.20] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.23] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.23] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-4(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:49.33] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.34] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.38] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-5(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:49.44] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.47] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.47] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-6(00)(00)(00)(00)(11)(00)(00)(00)
[19:10:49.81] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.84] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.88] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-5(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:49.89] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.92] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-4(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:49.94] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.94] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-3(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:49.97] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:49.98] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-2(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.3] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.6] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.8] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)-1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.12] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.14] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.19] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.20] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.23] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.26] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.28] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.31] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.33] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.36] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.38] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.41] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.42] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.45] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.48] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.51] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.55] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)(20)C(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.64] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.67] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.69] OK:(17)4(20)(20)BASS(20)(20)(20)(20)(20)(20)+1(00)(00)(00)(00)(13)(00)(00)(00)
[19:10:50.75] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
[19:10:50.76] OK:(15)0(01)(00)(00)(01)(11)(01)(00)(FF)(FF)(FF)(00)(00)(00)(00)(00)(00)(00)(00)(00)
