
[19:03:44.33] Started
[19:03:45.59] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:48.1] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:48.5] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:48.89] OK:(09)2(00)(00)(00)(02)(03)(00)(00)(BE)
[19:03:48.92] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:50.83] OK:(09)2(00)(00)(00)(02)(02)(00)(00)(BE)
[19:03:50.86] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
[19:03:51.61] OK:(09)2(00)(00)(00)(02)(03)(00)(00)(BE)
[19:03:51.62] OK:(15)0(01)(00)(00)"(11)(01)(01)(FF)(91)`@(03)MAXIMAFM
