Time [s],Packet ID,MOSI,MISO
8.9e-005,0,168,
0.00308925,,128,
0.0060895,,128,
0.00909925,,151,
0.022094,,128,
0.02511325,,91,
0.02810875,,27,
0.03110425,,155,
0.03409525,,155,
0.0370955,,191,
0.04009625,,168,
0.043109,,128,
0.0461045,,128,
0.0491,,151,
0.06212175,,128,
0.065114,,91,
0.0681095,,27,
0.071105,,155,
0.07410325,,155,
0.07710325,,191,
0.0801045,,168,
0.08311125,,128,
0.08610675,,128,
0.08910675,,151,
0.102124,,128,
0.10511625,,91,
0.108112,,27,
0.11111025,,155,
0.1141105,,155,
0.11711125,,191,
0.12012375,,168,
0.123112,,128,
0.126113,,128,
0.12913475,,151,
0.142125,,128,
0.14511725,,91,
0.148117,,27,
0.151118,,155,
0.154118,,155,
0.15712925,,191,
0.16012475,,168,
0.1631445,,128,
0.16614,,128,
0.1691355,,151,
0.18212725,,128,
0.18512375,,91,
0.188125,,27,
0.191125,,155,
0.194136,,155,
0.1971315,,191,
0.200127,,168,
0.20314675,,128,
0.20614225,,128,
0.20913775,,151,
0.22213075,,128,
0.2251315,,91,
0.228132,,27,
0.2311325,,155,
0.23413675,,155,
0.23713675,,191,
0.240134,,168,
0.2431475,,128,
0.24614325,,128,
0.24913875,,151,
0.26213875,,128,
0.2651395,,91,
0.26813975,,27,
0.27114925,,155,
0.274142,,155,
0.27716475,,191,
0.28016025,,168,
0.28315,,128,
0.2861455,,128,
0.28914375,,151,
0.302146,,128,
0.30514675,,91,
0.30815625,,27,
0.31115175,,155,
0.3141715,,155,
0.317167,,191,
0.3201625,,168,
0.32315075,,128,
0.3261505,,128,
0.32915175,,151,
0.34215375,,128,
0.3451615,,91,
0.348157,,27,
0.351157,,155,
0.35417225,,155,
0.35716775,,191,
0.3601635,,168,
0.36315775,,128,
0.36615825,,128,
0.36915875,,151,
0.382161,,128,
0.3851665,,91,
0.3881665,,27,
0.391163,,155,
0.39417725,,155,
0.39717275,,191,
0.40016825,,168,
0.40316525,,128,
0.4061655,,128,
0.409166,,151,
0.422175,,128,
0.42517175,,91,
0.42819425,,27,
0.43118975,,155,
0.434178,,155,
0.4371735,,191,
0.440172,,168,
0.44317275,,128,
0.446173,,128,
0.44918575,,151,
0.46218025,,128,
0.4651995,,91,
0.46819525,,27,
0.47119075,,155,
0.474179,,155,
0.4771795,,191,
0.48018,,168,
0.48318025,,128,
0.4861925,,128,
0.489188,,151,
0.50218375,,128,
0.505202,,91,
0.5081975,,27,
0.511193,,155,
0.51418625,,155,
0.51718675,,191,
0.52018725,,168,
0.52319775,,128,
0.52619325,,128,
0.52918875,,151,
0.5422105,,128,
0.54520275,,91,
0.54819825,,27,
0.55119375,,155,
0.554194,,155,
0.5571945,,191,
0.56019475,,168,
0.5631985,,128,
0.5661985,,128,
0.56922125,,151,
0.58221275,,128,
0.585205,,91,
0.58820075,,27,
0.59120125,,155,
0.59420125,,155,
0.59720225,,191,
0.60021275,,168,
0.60320525,,128,
0.606228,,128,
0.6092235,,151,
0.62221375,,128,
0.6252075,,91,
0.62820775,,27,
0.63120825,,155,
