Time [s],Packet ID,MOSI,MISO
0.0020245,0,128,
0.005047,,167,
0.01803725,,128,
0.0210295,,91,
0.02402725,,27,
0.02702825,,155,
0.030029,,155,
0.0330415,,191,
0.036037,,152,
0.03903125,,128,
0.042054,,128,
0.0450495,,167,
0.05803975,,128,
0.06103475,,91,
0.064035,,27,
0.06703575,,155,
0.0700485,,155,
0.073044,,191,
0.0760395,,152,
0.07905925,,128,
0.08205475,,128,
0.08505025,,167,
0.09804125,,128,
0.10104275,,91,
0.10404275,,27,
0.107044,,155,
0.11004925,,155,
0.11304475,,191,
0.11604475,,152,
0.11906,,128,
0.1220555,,128,
0.125051,,167,
0.138049,,128,
0.1410495,,91,
0.14405075,,27,
0.14706325,,155,
0.1500515,,155,
0.1530515,,191,
0.15607425,,152,
0.15906225,,128,
0.162058,,128,
0.16505425,,167,
0.17805625,,128,
0.181057,,91,
0.1840685,,27,
0.18706425,,155,
0.1900585,,155,
0.1930795,,191,
0.196075,,152,
0.19906325,,128,
0.2020615,,128,
0.20506175,,167,
0.21806475,,128,
0.221074,,91,
0.2240695,,27,
0.2270695,,155,
0.23008475,,155,
0.23308025,,191,
0.23607575,,152,
0.23906825,,128,
0.2420685,,128,
0.24506925,,167,
0.258084,,128,
0.26107625,,91,
0.26407625,,27,
0.2670735,,155,
0.270087,,155,
0.2730825,,191,
0.27607825,,152,
0.27907625,,128,
0.28207625,,128,
0.2850775,,167,
0.29808475,,128,
0.3010815,,91,
0.30410425,,27,
0.30709975,,155,
0.31008775,,155,
0.3130835,,191,
0.3160825,,152,
0.31908325,,128,
0.32208375,,128,
0.3250955,,167,
0.33808725,,128,
0.341111,,91,
0.3441065,,27,
0.347102,,155,
0.35009025,,155,
0.35309,,191,
0.35609,,152,
0.35909075,,128,
0.36210225,,128,
0.36509775,,167,
0.37809425,,128,
0.38111175,,91,
0.38410725,,27,
0.38710275,,155,
0.39009725,,155,
0.39309775,,191,
0.39609825,,152,
0.3991075,,128,
0.402103,,128,
0.405103,,167,
0.41812025,,128,
0.4211125,,91,
0.42410825,,27,
0.42710375,,155,
0.43010425,,155,
0.433105,,191,
0.4361055,,152,
0.439114,,128,
0.4421095,,128,
0.4451095,,167,
0.45812675,,128,
0.461119,,91,
0.4641145,,27,
0.4671115,,155,
0.47011175,,155,
0.47311225,,191,
0.47611325,,152,
0.47911475,,128,
0.48211475,,128,
0.4851375,,167,
0.4981275,,128,
0.50111975,,91,
0.50411825,,27,
0.50711925,,155,
0.51011925,,155,
