Time [s],Packet ID,MOSI,MISO
0.00200775,0,27,
0.005018,,155,
0.0080105,,155,
0.01103325,,191,
0.01402875,,224,
0.017017,,128,
0.0200125,,128,
0.0230115,,223,
0.03601375,,128,
0.0390145,,91,
0.04202475,,27,
0.04502025,,155,
0.04804,,155,
0.0510355,,191,
0.054031,,224,
0.05701925,,128,
0.06001825,,128,
0.06301875,,223,
0.07602125,,128,
0.07903,,91,
0.0820255,,27,
0.0850255,,155,
0.08804075,,155,
0.09103625,,191,
0.094032,,224,
0.097025,,128,
0.100026,,128,
0.103026,,223,
0.1160385,,128,
0.11903075,,91,
0.122031,,27,
0.1250535,,155,
0.1280415,,155,
0.13103725,,191,
0.13403275,,224,
0.13703275,,128,
0.1400335,,128,
0.14303375,,223,
0.156041,,128,
0.15903775,,91,
0.16206025,,27,
0.16505575,,155,
0.168044,,155,
0.1710395,,191,
0.17404,,224,
0.17704025,,128,
0.18004125,,128,
0.1830515,,223,
0.19604625,,128,
0.1990655,,91,
0.202061,,27,
0.2050565,,155,
0.20804625,,155,
0.2110465,,191,
0.21404775,,224,
0.217048,,128,
0.22005675,,128,
0.2230525,,223,
0.2360755,,128,
0.23906775,,91,
0.2420635,,27,
0.245059,,155,
0.24805375,,155,
0.2510545,,191,
0.25405525,,224,
0.2570635,,128,
0.26005925,,128,
0.26305925,,223,
0.2760765,,128,
0.27906875,,91,
0.28206425,,27,
0.28506125,,155,
0.28806125,,155,
0.291062,,191,
0.294063,,224,
0.2970645,,128,
0.3000645,,128,
0.303087,,223,
0.31607725,,128,
0.3190695,,91,
0.32206775,,27,
0.32506875,,155,
0.32806925,,155,
0.33107025,,191,
0.33407375,,224,
0.337095,,128,
0.3400905,,128,
0.343086,,223,
0.35607625,,128,
0.35907475,,91,
0.362076,,27,
0.3650765,,155,
0.368085,,155,
0.3710805,,191,
0.3740805,,224,
0.37709575,,128,
0.38009125,,128,
0.38308675,,223,
