Time [s],Packet ID,MOSI,MISO
0.00751925,0,128,
0.01052075,,38,
0.01352025,,27,
0.01652075,,230,
0.01952725,,155,
0.02252275,,191,
0.02552275,,134,
0.028538,,128,
0.0315335,,128,
0.03452925,,185,
0.04752675,,128,
0.05052725,,38,
0.05353975,,27,
0.05653525,,230,
0.059529,,155,
0.0625505,,191,
0.06554625,,134,
0.06853425,,128,
0.0715315,,128,
0.07453175,,185,
0.08753425,,128,
0.090542,,38,
0.09353775,,27,
0.09653775,,230,
0.09955275,,155,
0.1025485,,191,
0.105544,,134,
0.1085385,,128,
0.11153875,,128,
0.1145395,,185,
0.12754625,,128,
0.130543,,38,
0.1335655,,27,
0.136561,,230,
0.13954925,,155,
0.14254475,,191,
0.14554525,,134,
0.148546,,128,
0.1515465,,128,
0.15455675,,185,
0.167574,,128,
0.17056625,,38,
0.17356175,,27,
0.17655725,,230,
0.17955175,,155,
0.18255225,,191,
0.18555275,,134,
0.1885635,,128,
0.191559,,128,
0.1945545,,185,
0.20757175,,128,
0.210564,,38,
0.21355975,,27,
0.21655875,,230,
0.2195595,,155,
0.22256,,191,
0.2255715,,134,
0.22856425,,128,
0.23156175,,128,
0.2345825,,185,
0.24756825,,128,
0.2505655,,38,
0.25356575,,27,
0.25656625,,230,
0.25957675,,155,
0.2625725,,191,
0.265568,,134,
0.26858775,,128,
0.27158325,,128,
0.27457875,,185,
0.28757225,,128,
0.29057325,,38,
0.293574,,27,
0.2965865,,230,
0.29957475,,155,
0.30257575,,191,
0.30559725,,134,
