Time [s],Packet ID,MOSI,MISO
0.00673325,0,128,
0.00973225,,91,
0.012733,,27,
0.0157335,,155,
0.018742,,155,
0.0217375,,191,
0.0247375,,208,
0.02775275,,128,
0.03074825,,128,
0.03374375,,239,
0.046739,,128,
0.04973975,,91,
0.05274025,,27,
0.0557405,,155,
0.05874275,,155,
0.06174275,,191,
0.06476525,,208,
0.0677535,,128,
0.070749,,128,
0.07374475,,239,
0.08674675,,128,
0.089747,,91,
0.092748,,27,
0.09575675,,155,
0.0987495,,155,
0.101772,,191,
0.10476775,,208,
0.107756,,128,
0.1107515,,128,
0.113752,,239,
0.126754,,128,
0.1297665,,91,
0.13276225,,27,
0.13575775,,155,
0.1387775,,155,
0.141773,,191,
0.1447685,,208,
0.14775825,,128,
0.1507585,,128,
0.15375975,,239,
0.166762,,128,
0.1697675,,91,
0.172763,,27,
0.175764,,155,
0.17877825,,155,
0.18177375,,191,
0.18476925,,208,
0.18776575,,128,
0.1907665,,128,
0.193767,,239,
0.2067775,,128,
0.20976975,,91,
0.21277075,,27,
0.21579225,,155,
0.2187805,,155,
0.22177625,,191,
0.22477325,,208,
0.22777325,,128,
0.23077375,,128,
0.233775,,239,
0.24677825,,128,
0.24980225,,91,
0.25279775,,27,
0.25579325,,155,
0.2587815,,155,
0.26177975,,191,
0.26478075,,208,
