Time [s],Packet ID,MOSI,MISO
0.0098835,0,128,
0.01287575,,38,
0.01587125,,27,
0.01886675,,155,
0.021865,,155,
0.02486575,,191,
0.02786575,,134,
0.03087525,,128,
0.03387075,,128,
0.036871,,196,
0.04988375,,128,
0.052876,,38,
0.0558715,,27,
0.058872,,155,
0.061872,,155,
0.064873,,191,
0.0678835,,134,
0.07087625,,128,
0.07389875,,128,
0.07689425,,196,
0.08988,,128,
0.0928785,,38,
0.095879,,27,
0.0988795,,155,
0.10188875,,155,
0.10488425,,191,
0.10788425,,134,
0.1108995,,128,
0.113895,,128,
0.1168905,,196,
0.12988525,,128,
0.1328855,,38,
0.13588625,,27,
0.13889825,,155,
0.141891,,155,
0.14488825,,191,
0.147909,,134,
0.15089725,,128,
0.15389275,,128,
0.15689,,196,
0.1698925,,128,
0.1729035,,38,
0.175899,,27,
0.1788945,,155,
0.18191425,,155,
0.18490975,,191,
0.1879055,,134,
0.1908965,,128,
0.1938975,,128,
0.19689825,,196,
0.2099075,,128,
0.2129045,,38,
0.21590175,,27,
0.2189225,,155,
0.22191075,,155,
0.22490625,,191,
0.22790375,,134,
0.230904,,128,
0.2339055,,128,
0.23690575,,196,
0.24991,,128,
0.25292925,,38,
0.25592475,,27,
0.25892025,,155,
0.26191,,155,
0.26491075,,191,
0.2679115,,134,
0.27091175,,128,
0.2739205,,128,
0.276916,,196,
0.28993325,,128,
0.2929255,,38,
0.295921,,27,
0.29891725,,155,
0.3019175,,155,
0.30491875,,191,
0.307919,,134,
0.31092125,,128,
0.31392125,,128,
0.316944,,196,
0.329931,,128,
0.3329235,,38,
0.335924,,27,
0.33892475,,155,
0.341925,,155,
0.34493525,,191,
0.347931,,134,
0.3509505,,128,
0.35394625,,128,
0.35694175,,196,
0.369931,,128,
0.3729315,,38,
0.37593225,,27,
0.3789325,,155,
0.381936,,155,
0.38493625,,191,
0.38795875,,134,
0.390947,,128,
0.3939425,,128,
0.396938,,196,
0.40993825,,128,
0.41293925,,38,
0.41594875,,27,
0.41894425,,155,
0.421964,,155,
0.4249595,,191,
0.427955,,134,
0.43094475,,128,
0.433943,,128,
0.4369435,,196,
0.4499455,,128,
0.452951,,38,
0.455951,,27,
0.4589475,,155,
0.46196175,,155,
0.46495725,,191,
0.467953,,134,
0.47094975,,128,
0.47395,,128,
0.47695075,,196,
0.489955,,128,
0.49297875,,38,
0.4959745,,27,
0.49897,,155,
0.501958,,155,
0.5049565,,191,
0.50795675,,134,
0.5109575,,128,
0.51397025,,128,
0.51696575,,196,
0.52996075,,128,
0.532979,,38,
0.53597475,,27,
0.53897025,,155,
0.54196325,,155,
0.54496375,,191,
0.54796425,,134,
0.55097475,,128,
0.55397025,,128,
0.556966,,196,
0.56998325,,128,
0.5729755,,38,
0.575971,,27,
0.57897,,155,
0.58197075,,155,
0.58497125,,191,
0.587983,,134,
0.5909755,,128,
0.593973,,128,
0.59699375,,196,
0.6099795,,128,
0.61297675,,38,
